,0
0,tolong baik lagi karena iklan sangat sangat sangat ganggu saat nonton film tolong baik lagi
1,sangat suka
2,ok lah
3,mahal kalau hanya untuk nonton liga 1
4,banyak iklan mana iklan durasi lama
5,ok
6,sekarang makin sering buffering saat nonton di apk ini padahal bayar tapi rasa nikmat konten gratis
7,tidak bagus
8,parah banget udh bayar paket tahun tapi nonton yang express mesti bayar lagi 5rb episode ini mah sama aja nipu nama nya udah bayar di suruh bayar lagi asli kecewa banget dan nyesel udh langgan 1 tahun
9,gua udah lama langgan vidio dan tolong dong film serigala akhir di adakan lagi season 3 nya karena kan kemarin film nya gantung si ariel blm mati msh bnyk tanda tanya nya sama paket langgan nya kalo bisa di murah jangan mahal
10,knp apk vidio di hp sya gbsa di buka gagal memuatt trs apa gra pke wifi tpi dri dlu sya pakai wifi bisa tpi skrng gk bisa
11,kenapa kok sering eror sii miin pdhal wifiku lancar lohhh
12,tingkat lagi
13,sudah langgan tapi gak bisa log in saya mau batal langgan bagaimana cara kembaliin biaya bayar saya
14,kenapa aplikasi video ko ngk bisa di buka dari tadi coba terus ngk bisa ngk nampil gambar mau nonton tv ngk bisa udah di apdate masih sama aja ngk bisa
15,saya lagi nonton kok tiba tiba keluar sendiri ya trs saya tidak bisa login lagi
16,aplikasi nya kok gak bisa buka y
17,tahan sistem yang telah bagus
18,kesel bgt banyak bgt kendala gagal muat padahal udah di download udah langgan juga sering error hapus aplikasi karena error trs dan paket langgan msh laku tagih lagi paket aneh ribet bgt
19,aplikasi bagus tapi iklan mulu-mulu tolong ya di perbaikin
20,masa dah akktif tapi masih ada iklan dan suruh beli lagi kan ngeselin
21,makin kesini makin ga jelas udah banyak iklan sering ga bisa buka tapi suruh update terus baru ga jelas
22,iklan di kurang dan moga dapat paket gratis dari my telkomsel
23,aplikasi sering down dan error kecewa padahal udah langgan platinum tambah kartun kurang lengkap seperti gumball dll
24,bagus
25,sangat bagus
26,walaupun ada iklan ini apk tetap banyak film premium yang gratis maklum kalau banyak iklan
27,beri vidio baik cara live
28,fta 3
29,ini aplikasi lama2 langgan paket nya gak jelas
30,vidio ini app yg luar biasa
31,banyak jenis konten hibur yg hadir jd selalu punya sesuatu yg tarik buat tonton sayang untuk aplikasi terlalu bnyak iklan
32,vidio sports movie ok
33,bagus app bisa nonton bola sy ya kalo nonton film byak iklan ya
34,iklan nya banyak banget
35,telah update ko ga bisa nonton ya masuk aplikasi nya bisa tapi pas mau nonton apa yang mau di tonton malah kembali mental gitu tolong baik min
36,proses verifikasi terlalu ribet padahal sudah pake email kampus
37,apk taik iklan doang di banyakin kalo gak boleh di tonton gratis kali aja di awal buka aplikasi langsung di kasih harga jangan udah buka ilannya lebih banyak dari yang di tonton kalo ada bintang lebih rendah dari satu itu yang saya kasih saya unninstal makasih aplikasi taik video taik
38,jadi tentang flm
39,baik
40,saran sih cuma dibanyakin siar tv nya biar lebih bagus
41,aplikasi jelek
42,bagus
43,iklan terlalu banyak dan tidak bisa lewat sangat2 ganggu aplikasi jelek
44,gooood
45,film nya monoton delay mulu padahal gw pke telkomsel
46,telah baharu knp trans7 hilang yg ada cma transtv aja
47,bintang 4 sih soal channel nasional indonesia belum lengkap seperti rcti
48,iklan bisa di kurang gak soal terlalu banyak
49,tolong vidio nya gak bisa di buka ni
50,hadewww terlalu banyak iklan telah banyak yg pake apk video harus langgan biar tidak ada iklan kita nonton video juga pake kuota
51,uhotutvvdasty
52,bagus
53,iklan ny gak bisa d skip panjang lgi parah
54,ok
55,busuk
56,tidak bisa putar
57,di apk video kita dapat tonton bagai video film utama film film baru baik dalam bentuk cuplik maupun panjang sangat baik untuk tambah wawas
58,iklan terlalu banyak
59,jelekkk aplikasi tv lain banyak yg gratis
60,mengapa rcti ngak ada ya
61,streaming sering putus dan error
62,kasih tiga bintang dulu coba dulu ya
63,saya hanya ingin lihat tv berita lain tidak
64,tolong please vidio ini gampang pecah video ini suka kaya jeda tapi bersuaraaa tolonggg jangan bikin geram
65,banyak iklan
66,cuax
67,aplikasi bagus sangat ramah
68,bisa gampang nonton siar live streaming indosiar di mana saja
69,untuk app video tlong dong tayang video knapa stiap aku lg nonton sinetron ksayangan aku tiba saja bisa ganggu tolong di baik
70,knapa waktu klaim bonus di myxl tapi ga aktif di vidio
71,saya kasih bintang 1 dan gak akan saya tambah lagi karena kecewa berat rewatch aja harus nnton iklan banyak macam nonton tv aja padahal udah dapat jatah iklan di televisi masih aja masang iklan di apk rewatch masih kurang apa gimana ini apa mau jadi orang serakah dan maruk gak akan tahan lama nih
72,selamat malam moga nyaman dan lancar tonton tayang
73,aplikasi buat nonton iklan doang yg gratisanya
74,banyak iklan hilangin aja napa sih
75,ngak bisa di putar kecewa
76,suka bisa nonton sinetron lewat aplikasi ini
77,iklan nya banyak gabisa di skip pula kita yg nonton jdi ke ganggu maslh iklan nya panjang
78,tks vidio
79,sekarang kurang seru dah kya nonton youtube ditengah2 iklan 2x nga bsa di skip awal oke akhir juga ditengah2 film juga asa kagok kan dah byr langgan bulan dan tahun wlw bkn premier
80,aplikasi ini selalu keluar sendiri padahal tidak sentuh apa apa malah keluar sendiri
81,kenapa ga bs buka
82,udah langgan yg diamond selalu update di playstore malah lelet aplikasi gak ada satu video yg bisa buka
83,iklan banyak banget padahal lagi semangat nya mau nonton eh gak jadi baik cuman 4 bintang aja nanti kalau di baik baru deh kasih 5 kalau bagus tapi moga bisa lebih bagus depan kak
84,harus diupdate aplikasi ini karena iklan durasi lama jadi harus diupdate agar durasi cepat sekarang cepat durasi dan ada tombol langkah iklan saya enak aplikasi ini terima kasih
85,hooo bawa sellu bawa nama mu di dalam hati
86,baguuss g ad beda sm tv banyakk iklann tapi nguras kuota nya banyakk enkan yg pakek wifi kalok mau nonton di apk in
87,aplikasi keren
88,coba dulu ya
89,kenapa aplikasi video kadang kadang eror sih kak lagi asik asik nonton juga
90,bagus saye suke sangat proses nye cepat seru klau nonton live nye
91,maaf ini kenapa gagal muat mulu padahal udah pake wifi yg beda paket data yg beda pake hp yg beda masih aja gagal muat udah di re-instal tetep gagal muat
92,kalo update adain dong fitur hapus history tonton
93,nice
94,gartis
95,vidio sangat bagus dan bisa rekomendasi tiap hari saya buka vidio unt tonton acara suka karena tidak terlalu banyak iklan
96,iklan nya kurang banyak dan kurang lama durasi
97,ok mantap
98,apa paket diamond tdi nya 59k knpa skrang 99k parah naik nya
99,bagus
